1.5;2;1.8;8.15947608;3;4;3
1.5;2;2.1;3.41439565;3;4;4
1.5;2.5;0.9;1.09757613;3;5;0
1.5;2.5;1.2;4.44240163;3;5;1
1.5;2.5;1.5;5.59326723;3;5;2
1.5;2.5;1.8;5.06219258;3;5;3
1.5;2.5;2.1;2.99678326;3;5;4
1.5;3;0.9;-0.04669868;3;6;0
1.5;3;1.2;1.94541616;3;6;1
1.5;3;1.5;2.06178019;3;6;2
1.5;3;1.8;2.34317906;3;6;3
1.5;3;2.1;0.24513684;3;6;4
2;0;0.9;-0.07421612;4;0;0
2;0;1.2;1.53527542;4;0;1
2;0;1.5;1.96566071;4;0;2
2;0;1.8;1.9345688;4;0;3
2;0;2.1;0.40422696;4;0;4
2;0.5;0.9;1.11944615;4;1;0
2;0.5;1.2;4.34265553;4;1;1
2;0.5;1.5;4.88944461;4;1;2
2;0.5;1.8;4.68568627;4;1;3
2;0.5;2.1;2.291671;4;1;4
2;1;0.9;1.1661422;4;2;0
2;1;1.2;6.40749602;4;2;1
2;1;1.5;9.07727793;4;2;2
2;1;1.8;7.86742052;4;2;3
2;1;2.1;3.47574369;4;2;4
2;1.5;0.9;0.33647348;4;3;0
2;1.5;1.2;6.27649647;4;3;1
2;1.5;1.5;10.17184932;4;3;2
2;1.5;1.8;7.8674633;4;3;3
2;1.5;2.1;3.55763991;4;3;4
2;2;0.9;1.48238464;4;4;0
2;2;1.2;6.34949357;4;4;1
2;2;1.5;9.07690508;4;4;2
2;2;1.8;7.81520899;4;4;3
2;2;2.1;3.73358748;4;4;4
2;2.5;0.9;1.1354291;4;5;0
2;2.5;1.2;4.13814809;4;5;1
2;2.5;1.5;5.08946221;4;5;2
2;2.5;1.8;4.88540293;4;5;3
2;2.5;2.1;2.64080472;4;5;4
2;3;0.9;-0.05730476;4;6;0
2;3;1.2;1.56261729;4;6;1
2;3;1.5;1.75417168;4;6;2
2;3;1.8;2.17143076;4;6;3
2;3;2.1;0.63078917;4;6;4
2.5;0;0.9;-0.44191225;5;0;0
2.5;0;1.2;1.12869759;5;0;1
2.5;0;1.5;1.34305935;5;0;2
2.5;0;1.8;1.29145249;5;0;3
2.5;0;2.1;-0.20582254;5;0;4
2.5;0.5;0.9;0.34833352;5;1;0
2.5;0.5;1.2;2.47926419;5;1;1
2.5;0.5;1.5;3.29853266;5;1;2
2.5;0.5;1.8;3.00913211;5;1;3
2.5;0.5;2.1;1.50340203;5;1;4
2.5;1;0.9;1.33678952;5;2;0
2.5;1;1.2;4.4358927;5;2;1
2.5;1;1.5;5.85779956;5;2;2
2.5;1;1.8;5.33777342;5;2;3
